Nam,Nhiet do TB (C),Do am TB (%),Anh sang TB (lx),Do am dat TB (%),Luu luong TB (L/phut),Nang suat thang (kg/ha)
2020,22.81,32.55,6180.05,21.37,417.65,56.66
2021,32.75,30.11,3590.64,32.1,126.94,56.23
2022,23.27,54.21,3168.88,40.97,321.69,59.9
2023,25.24,44.23,9875.43,57.4,288.77,83.39
2024,28.21,40.17,7215.14,20.93,179.78,57.12
2006,23.91891175306659,33.81907422512487,5112.935589074314,63.24782654585458,236.8404576403634,48.02503777452007
2019,21.280432035438487,55.76028976286976,8217.643241195374,30.829615433309833,123.88048473796769,67.18589308483904
2014,31.343603216569324,55.338774189826864,-505.40888932343387,19.297175914891287,134.35024854669723,53.00490010915484
2010,26.28616567375161,30.673420412074293,3099.5899299588277,13.858311932016825,270.84780574721844,83.72819853119543
2007,27.171240300563998,43.97952296980672,-388.79067474844214,19.26890237090241,53.27817760309057,63.48815326710577
2020,30.188599334129535,50.561143517796566,3070.6096687481086,48.56674556484244,165.40033568573512,46.86340404220772
2006,26.419858752653173,48.44420198318323,3893.315317250291,50.67181798857081,491.61601060312887,49.30940687580182
2018,28.31191937784629,41.04145078485076,10076.231267972023,44.489810883408985,227.05559428106264,74.95527557996253
2022,29.810269536178225,52.8681664409149,-1599.183653137252,36.57031578828883,212.5854871565307,61.766568940733926
2010,28.7861444679029,31.521357794001904,4858.240840551763,15.577091587074417,226.53836539188288,74.2432866112195
2010,27.631770857477107,37.32778744559863,7712.59388365604,23.43252790713536,228.36291046873987,58.38060740725599
2023,33.78704024440301,31.78079627002022,7137.365747896972,17.693407424110088,333.37795958119585,56.11830369016108
2020,31.562203183412347,47.80858789218339,10032.314995098397,43.28157291248313,325.29086731832285,75.73151952582695
2003,26.103395704489333,34.62892898544001,6449.636508896668,18.353237286187156,221.82347568528297,52.63459707472232
2007,22.715913845449233,38.60067386238352,7036.9591470010655,23.67165638560906,242.26234487535112,68.37056828480479
2023,29.081619414041484,46.21730208118365,941.9498471059624,31.75836527932712,418.62464743336466,60.187053374511365
2002,27.343483432154006,46.99525776133407,3283.8892255838496,9.112714773326104,92.4874300656692,72.92064337899984
2021,33.482316975455056,31.49614353408473,1095.654000734242,35.26661540506816,260.31381416027534,83.89400310325775
2020,30.515951127173494,50.455484443082355,7583.24934032799,32.92140522257717,282.59041148331397,58.08063488092456
2001,29.597928548909223,44.65345849623169,6966.478985724845,52.5967595449555,177.2393972587326,56.27115195252809
2023,26.50924859093867,29.810693787005867,6869.653167313916,22.062425400460118,253.6647971369368,70.4344855032527
2011,22.855676683508754,27.43555933784485,3578.1617540841553,14.759293618335537,161.64420673099926,50.02570249957965
2005,25.642100586760915,40.10126851735759,3326.0848874308354,28.854780114677315,340.57521557939435,81.53508099249672
2001,28.41641769191616,48.46123725168822,6582.939445574044,17.82334289146577,112.36913281943853,79.54485987544356
2020,19.345052775450778,48.70860377101091,4162.236491014008,35.15056428729182,389.69252765180926,50.993518654070265
2000,31.56114804764648,43.69261514057572,3195.3729785281175,6.215798428380737,258.49739196579986,44.17422967783003
2011,34.954386901356045,40.7239315032881,4605.694063994254,25.33088126964212,215.2067064900141,49.10821783736833
2021,18.459630994204858,45.194574234776866,4186.046017064141,20.409212430952625,150.89795966178724,49.28579233253198
2011,20.69919294232435,31.996206687236054,3618.6814835206615,43.2044182616253,386.0331603219828,72.02196657670493
2024,27.400227832652988,56.54103391220899,2629.7098302835398,22.204134098972535,191.65936231383318,80.7492916947321
2016,24.060793116055095,56.415047972222794,7241.922267003829,8.102626586588478,132.11913626888492,71.88611503082213
2009,27.528683415484107,44.39397092882168,10292.090926158906,31.47904361011964,388.43672681585434,59.90203991073062
2015,26.16132137055092,42.15883802625217,5898.592815747591,39.42782548126645,162.4957037536025,66.6592727783607
2014,22.24670117132512,36.28193388099419,6618.712072749873,30.42188355246772,256.0508922992376,52.50380969295505
2014,31.75311779513145,45.358808737115865,7483.454854265954,25.239809219243185,361.5586386211892,75.4718362350835
2018,28.365800580013495,33.579672512156094,7015.715650048456,24.321995339617946,285.214116191055,67.70469872441242
2011,24.154692498979486,18.786125008017894,3673.2489506876377,36.27489043339763,466.92332755138295,71.68844579072565
2022,32.64371816652589,14.05063564075861,10743.26121193378,21.00224694622841,170.50801971901,54.164739411010544
2019,24.365753975251778,32.53523879822348,3920.0528157177378,29.549192117892595,242.6465923730469,60.691330925261234
2024,21.35033162922436,41.763753476548416,7791.156057100457,45.987898375156874,251.58054127609546,71.12650584221689
2002,27.210485377307588,43.459022992340174,7466.414314549154,14.726877837446395,338.734420113563,79.51555528570394
2004,27.907962375627513,35.55460169468048,611.5954878725406,33.888683793056906,415.8347100163159,55.55936437839141
